Date,Open,High,Low,Close,Adj Close,Volume
2018-07-11,1757.500000,1758.500000,1718.500000,1720.000000,1667.817261,8016509
2018-07-12,1730.000000,1745.000000,1719.000000,1724.500000,1672.180664,4386547
2018-07-13,1731.500000,1740.000000,1722.500000,1726.000000,1673.635132,3978246
2018-07-16,1725.000000,1726.500000,1700.000000,1714.670044,1662.648926,4806447
2018-07-17,1717.000000,1741.000000,1716.500000,1737.000000,1684.301392,6227508
2018-07-18,1746.000000,1780.500000,1728.000000,1776.000000,1722.118164,7446779
2018-07-19,1767.000000,1804.000000,1763.500000,1794.000000,1739.572144,8085528
2018-07-20,1791.500000,1800.500000,1771.500000,1790.000000,1735.693481,6295976
2018-07-23,1784.000000,1784.000000,1761.500000,1776.500000,1722.603027,3425582
2018-07-24,1786.500000,1813.000000,1775.000000,1797.000000,1742.481079,4665041
2018-07-25,1796.500000,1799.500000,1745.500000,1753.500000,1700.300903,5470399
2018-07-26,1764.500000,1781.500000,1755.000000,1771.000000,1717.269775,5077338
2018-07-27,1774.500000,1785.500000,1764.500000,1775.000000,1721.148560,3456949
2018-07-30,1764.000000,1796.000000,1761.000000,1791.500000,1737.147949,3483960
2018-07-31,1789.500000,1825.500000,1787.000000,1805.000000,1750.238403,5290900
2018-08-01,1811.500000,1827.500000,1779.500000,1785.000000,1730.845093,5034631
2018-08-02,1780.000000,1782.000000,1730.000000,1730.500000,1677.998657,7143844
2018-08-03,1741.000000,1762.500000,1731.000000,1747.000000,1693.998047,9799860
2018-08-06,1751.000000,1761.000000,1743.000000,1749.000000,1695.937378,4567582
2018-08-07,1749.000000,1765.000000,1743.500000,1757.500000,1704.179443,6082387
2018-08-08,1798.000000,1834.500000,1737.000000,1822.000000,1766.722534,16049867
2018-08-09,1843.000000,1843.000000,1795.500000,1824.000000,1768.661987,8565442
2018-08-10,1814.000000,1816.500000,1796.500000,1797.500000,1742.965942,6974756
