Date,Open,High,Low,Close,Adj Close,Volume
2019-06-18,127.440002,130.100006,126.839996,129.179993,129.179993,115693190
2019-06-19,128.860001,128.860001,126.379997,127.199997,127.199997,122220586
2019-06-20,128.100006,128.759995,126.839996,128.339996,128.339996,78489006
2019-06-21,128.699997,129.080002,126.639999,126.900002,126.900002,172290667
2019-06-24,127.519997,127.959999,126.099998,126.239998,126.239998,70786600
2019-06-25,126.000000,126.000000,123.320000,124.239998,124.239998,71949677
2019-06-26,124.040001,126.000000,123.300003,125.760002,125.760002,72599150
2019-06-27,126.779999,129.179993,126.080002,128.660004,128.660004,76688390
2019-06-28,128.880005,129.460007,128.119995,129.320007,129.320007,58623797
2019-07-01,129.800003,132.039993,126.400002,127.940002,127.940002,98597701
2019-07-02,128.600006,129.039993,126.699997,128.759995,128.759995,70133463
2019-07-03,129.080002,132.580002,129.020004,131.419998,131.419998,92713666
2019-07-04,132.460007,134.199997,132.080002,132.919998,132.919998,123286945
2019-07-05,133.820007,135.300003,133.119995,134.639999,134.639999,51954946
2019-07-08,134.000000,135.119995,133.380005,133.779999,133.779999,53009207
2019-07-09,134.100006,134.679993,132.660004,133.820007,133.820007,67222148
2019-07-10,133.139999,133.779999,131.380005,132.500000,132.500000,59228115
2019-07-11,133.000000,133.619995,132.259995,132.740005,132.740005,71058205
