Date,Open,High,Low,Close,Adj Close,Volume
09/07/2018,101.650002,102.25,101.25,101.849998,100.222542,18212000
10/07/2018,102,102.510002,101.860001,102.120003,100.48822,19293100
11/07/2018,101.150002,102.339996,101.099998,101.980003,100.350464,19644600
12/07/2018,102.769997,104.410004,102.730003,104.190002,102.525146,24335900
13/07/2018,104.370003,105.599998,104.089996,105.43,103.745331,24635200
16/07/2018,105.400002,105.82,104.519997,104.910004,103.233643,21786900
17/07/2018,104.610001,106.5,104.32,105.949997,104.257019,25901700
18/07/2018,105.940002,106.050003,104.720001,105.120003,103.440285,29493900
19/07/2018,104.93,105.309998,103.889999,104.400002,102.731789,40171600
20/07/2018,108.080002,108.199997,106.080002,106.269997,104.571907,56004000
23/07/2018,106.300003,108.139999,106.129997,107.970001,106.244736,29707000
24/07/2018,108.57,108.82,107.260002,107.660004,105.939697,26316600
25/07/2018,107.959999,111.150002,107.599998,110.830002,109.059044,30702100
26/07/2018,110.739998,111,109.5,109.620003,107.868378,31372100
27/07/2018,110.18,110.18,106.139999,107.68,105.959373,37005300
30/07/2018,107.190002,107.529999,104.760002,105.370003,103.686295,34668300
31/07/2018,106.489998,106.720001,105.379997,106.080002,104.384949,27655200
01/08/2018,106.029999,106.449997,105.419998,106.279999,104.581749,23628700
02/08/2018,105.400002,108.089996,104.839996,107.57,105.851128,26104300
03/08/2018,107.800003,108.050003,106.82,108.040001,106.313622,18659600
06/08/2018,108.120003,108.419998,107.559998,108.129997,106.402191,20265900
07/08/2018,108.559998,109.099998,108.169998,108.879997,107.140198,16080200
08/08/2018,109.330002,109.75,108.760002,109.489998,107.740456,15487500
09/08/2018,109.709999,110.160004,109.599998,109.669998,107.91758,13677200
10/08/2018,109.419998,109.690002,108.379997,109,107.258286,18183700
13/08/2018,109.239998,109.580002,108.099998,108.209999,106.480911,18472500
14/08/2018,108.559998,109.75,108.040001,109.559998,107.809334,16788300
15/08/2018,108.489998,108.989998,106.82,107.660004,106.347382,29982800
16/08/2018,108.300003,108.860001,107.300003,107.639999,106.327629,21384300
17/08/2018,107.360001,107.900002,106.690002,107.580002,106.268364,18061500
20/08/2018,107.510002,107.900002,106.480003,106.870003,105.567017,17914200
21/08/2018,106.919998,107.349998,105.849998,105.980003,104.687874,22881900
22/08/2018,105.849998,107.339996,105.779999,107.059998,105.754692,18000600
23/08/2018,107.150002,108.18,106.870003,107.559998,106.248596,18167700
