"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2019","7,834.90","7,944.86","7,950.23","7,832.39","177.80M","-0.88%"
"Jul 18, 2019","7,904.13","7,850.12","7,912.33","7,827.49","156.44M","0.19%"
"Jul 17, 2019","7,888.76","7,927.91","7,941.10","7,887.98","144.40M","-0.48%"
"Jul 16, 2019","7,927.08","7,958.44","7,965.76","7,904.95","139.65M","-0.50%"
"Jul 15, 2019","7,966.93","7,961.07","7,969.79","7,940.45","149.41M","0.30%"
"Jul 12, 2019","7,943.24","7,908.58","7,944.08","7,900.39","178.33M","0.59%"
"Jul 11, 2019","7,896.78","7,918.65","7,934.60","7,873.16","149.72M","-0.08%"
"Jul 10, 2019","7,903.40","7,869.73","7,923.93","7,858.68","165.08M","0.98%"
"Jul 09, 2019","7,826.86","7,748.29","7,833.93","7,748.23","146.88M","0.53%"
"Jul 08, 2019","7,785.79","7,790.46","7,792.20","7,756.11","143.85M","-0.71%"
"Jul 05, 2019","7,841.30","7,806.07","7,854.71","7,774.59","125.48M","-0.21%"
"Jul 03, 2019","7,857.69","7,819.06","7,857.69","7,811.29","111.14M","0.74%"
"Jul 02, 2019","7,799.82","7,763.03","7,800.47","7,746.01","139.65M","0.41%"
"Jul 01, 2019","7,768.14","7,816.56","7,820.81","7,735.67","182.63M","1.27%"
"Jun 28, 2019","7,671.07","7,674.52","7,682.26","7,639.44","318.50M","0.18%"
"Jun 27, 2019","7,657.05","7,656.68","7,672.98","7,636.72","150.21M","0.39%"
"Jun 26, 2019","7,627.05","7,642.92","7,688.64","7,616.91","192.60M","0.47%"
"Jun 25, 2019","7,591.54","7,720.91","7,723.04","7,584.16","173.04M","-1.70%"
"Jun 24, 2019","7,723.02","7,737.01","7,746.68","7,720.78","153.06M","-0.07%"
"Jun 21, 2019","7,728.78","7,719.42","7,772.53","7,708.24","385.16M","-0.12%"
"Jun 20, 2019","7,738.06","7,770.17","7,770.61","7,681.43","170.38M","0.92%"
"Jun 19, 2019","7,667.74","7,652.52","7,681.56","7,606.28","166.28M","0.42%"
"Jun 18, 2019","7,635.40","7,606.61","7,689.08","7,595.59","197.02M","1.45%"
"Jun 17, 2019","7,526.52","7,500.28","7,546.99","7,492.17","147.03M","0.63%"
"Jun 14, 2019","7,479.11","7,476.47","7,500.74","7,454.87","152.29M","-0.42%"
"Jun 13, 2019","7,510.68","7,500.85","7,530.90","7,487.09","140.05M","0.51%"
"Jun 12, 2019","7,472.29","7,493.55","7,507.52","7,459.20","141.90M","-0.55%"
"Jun 11, 2019","7,513.85","7,584.75","7,595.57","7,489.99","162.20M","0.16%"
"Jun 10, 2019","7,501.93","7,472.60","7,573.00","7,468.16","176.90M","1.14%"
"Jun 07, 2019","7,417.29","7,315.33","7,445.99","7,309.01","176.53M","1.94%"
"Jun 06, 2019","7,275.93","7,229.86","7,293.22","7,201.59","172.72M","0.76%"
"Jun 05, 2019","7,220.90","7,230.81","7,235.23","7,146.43","181.76M","0.76%"
"Jun 04, 2019","7,166.75","7,056.18","7,169.79","7,023.10","217.17M","2.70%"
"Jun 03, 2019","6,978.02","7,110.34","7,126.43","6,936.68","245.98M","-2.10%"
"May 31, 2019","7,127.96","7,148.71","7,183.23","7,125.97","183.95M","-1.62%"
"May 30, 2019","7,245.40","7,234.83","7,262.77","7,204.42","135.81M","0.40%"
"May 29, 2019","7,216.86","7,222.55","7,254.20","7,176.67","195.44M","-0.85%"
"May 28, 2019","7,278.38","7,321.27","7,362.29","7,274.70","293.46M","-0.31%"
"May 24, 2019","7,300.96","7,353.97","7,371.30","7,294.10","143.59M","-0.10%"
"May 23, 2019","7,307.93","7,331.67","7,337.47","7,261.46","218.84M","-1.52%"
"May 22, 2019","7,420.66","7,413.84","7,458.11","7,410.72","153.96M","-0.41%"
"May 21, 2019","7,451.02","7,442.31","7,472.71","7,417.07","164.74M","1.01%"
"May 20, 2019","7,376.70","7,391.73","7,424.59","7,351.92","211.42M","-1.69%"
"May 17, 2019","7,503.68","7,513.15","7,605.67","7,496.92","212.22M","-1.01%"
"May 16, 2019","7,580.14","7,509.90","7,627.03","7,502.76","189.21M","1.02%"
"May 15, 2019","7,503.25","7,354.82","7,524.22","7,353.90","172.93M","1.37%"
"May 14, 2019","7,401.88","7,366.64","7,449.02","7,337.94","185.93M","1.06%"
"May 13, 2019","7,324.13","7,385.55","7,433.92","7,303.64","253.31M","-3.46%"
"May 10, 2019","7,586.53","7,556.04","7,623.01","7,426.75","198.03M","0.05%"
"May 09, 2019","7,582.75","7,525.81","7,605.03","7,472.71","200.57M","-0.46%"
"May 08, 2019","7,617.55","7,623.32","7,678.82","7,593.75","182.20M","-0.30%"
"May 07, 2019","7,640.15","7,713.49","7,743.06","7,572.61","234.70M","-1.98%"
"May 06, 2019","7,794.09","7,662.92","7,804.55","7,662.92","170.54M","-0.66%"
