"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 22, 2019","6,691.20","6,700.30","6,710.70","6,673.20","514.78M","-0.14%"
"Jul 19, 2019","6,700.30","6,649.10","6,705.40","6,646.60","491.23M","0.77%"
"Jul 18, 2019","6,649.10","6,673.30","6,673.30","6,630.70","531.30M","-0.36%"
"Jul 17, 2019","6,673.30","6,641.00","6,675.40","6,626.60","523.02M","0.49%"
"Jul 16, 2019","6,641.00","6,653.00","6,665.30","6,641.00","549.37M","-0.18%"
"Jul 15, 2019","6,653.00","6,694.90","6,694.90","6,638.50","456.07M","-0.65%"
"Jul 12, 2019","6,696.50","6,716.10","6,717.10","6,687.70","565.57M","-0.29%"
"Jul 11, 2019","6,716.10","6,689.80","6,729.40","6,686.10","645.73M","0.39%"
"Jul 10, 2019","6,689.80","6,665.70","6,718.20","6,665.70","631.14M","0.36%"
"Jul 09, 2019","6,665.70","6,672.20","6,679.00","6,641.40","550.09M","-0.10%"
"Jul 08, 2019","6,672.20","6,740.00","6,751.30","6,672.20","457.99M","-1.17%"
"Jul 05, 2019","6,751.30","6,718.00","6,769.60","6,714.80","579.05M","0.50%"
"Jul 04, 2019","6,718.00","6,685.50","6,731.90","6,685.50","570.46M","0.49%"
"Jul 03, 2019","6,685.50","6,653.20","6,692.40","6,641.70","642.49M","0.49%"
"Jul 02, 2019","6,653.20","6,648.40","6,686.50","6,642.50","596.69M","0.08%"
"Jul 01, 2019","6,648.10","6,618.80","6,664.00","6,618.80","555.61M","0.44%"
"Jun 28, 2019","6,618.80","6,666.30","6,670.10","6,618.80","754.15M","-0.71%"
"Jun 27, 2019","6,666.30","6,640.50","6,666.30","6,606.30","676.69M","0.39%"
"Jun 26, 2019","6,640.50","6,658.00","6,658.00","6,637.40","746.12M","-0.26%"
"Jun 25, 2019","6,658.00","6,665.40","6,680.30","6,647.30","663.40M","-0.11%"
"Jun 24, 2019","6,665.40","6,650.80","6,665.40","6,617.00","558.76M","0.22%"
