"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 05, 2019","21,807.50","21,743.14","21,839.18","21,731.34","602.89M","0.38%"
"Apr 04, 2019","21,724.95","21,724.69","21,787.60","21,662.90","596.94M","0.05%"
"Apr 03, 2019","21,713.21","21,563.64","21,722.72","21,489.95","705.68M","0.97%"
"Apr 02, 2019","21,505.31","21,744.64","21,744.64","21,490.56","732.24M","-0.02%"
"Apr 01, 2019","21,509.03","21,500.89","21,682.94","21,471.12","798.21M","1.43%"
"Mar 29, 2019","21,205.81","21,228.51","21,267.25","21,149.42","635.38M","0.82%"
"Mar 28, 2019","21,033.76","21,191.32","21,191.32","20,974.19","733.10M","-1.61%"
"Mar 27, 2019","21,378.73","21,353.61","21,388.59","21,242.52","782.56M","-0.23%"
"Mar 26, 2019","21,428.39","21,174.34","21,460.99","21,174.34","1.04B","2.15%"
"Mar 25, 2019","20,977.11","21,267.41","21,275.43","20,911.57","801.45M","-3.01%"
"Mar 22, 2019","21,627.34","21,713.26","21,713.26","21,542.03","813.48M","0.09%"
"Mar 20, 2019","21,608.92","21,548.65","21,614.17","21,499.16","673.20M","0.20%"
"Mar 19, 2019","21,566.85","21,558.43","21,585.55","21,425.79","617.70M","-0.08%"
"Mar 18, 2019","21,584.50","21,576.36","21,612.67","21,500.32","568.96M","0.62%"
"Mar 15, 2019","21,450.85","21,376.73","21,521.68","21,374.85","857.90M","0.77%"
"Mar 14, 2019","21,287.02","21,474.58","21,522.75","21,287.02","660.94M","-0.02%"
"Mar 13, 2019","21,290.24","21,425.77","21,474.17","21,198.99","681.77M","-0.99%"
"Mar 12, 2019","21,503.69","21,361.61","21,568.48","21,348.81","698.57M","1.79%"
"Mar 11, 2019","21,125.09","21,062.75","21,145.94","20,938.00","573.25M","0.47%"
"Mar 08, 2019","21,025.56","21,339.17","21,359.32","20,993.07","1.03B","-2.01%"
"Mar 07, 2019","21,456.01","21,456.88","21,472.16","21,402.12","774.96M","-0.65%"
"Mar 06, 2019","21,596.81","21,659.03","21,684.60","21,550.45","588.58M","-0.60%"
"Mar 05, 2019","21,726.28","21,712.80","21,798.38","21,659.04","610.39M","-0.44%"
"Mar 04, 2019","21,822.04","21,812.81","21,860.39","21,740.92","609.23M","1.02%"
"Mar 01, 2019","21,602.69","21,490.02","21,641.58","21,490.02","644.74M","1.02%"
"Feb 28, 2019","21,385.16","21,536.55","21,536.55","21,364.09","737.24M","-0.79%"
"Feb 27, 2019","21,556.51","21,504.61","21,578.81","21,492.65","698.29M","0.50%"
"Feb 26, 2019","21,449.39","21,556.02","21,610.88","21,405.84","580.57M","-0.37%"
"Feb 25, 2019","21,528.23","21,567.66","21,590.03","21,505.07","533.64M","0.48%"
"Feb 22, 2019","21,425.51","21,376.36","21,451.23","21,348.67","539.89M","-0.18%"
"Feb 21, 2019","21,464.23","21,422.31","21,553.35","21,318.74","704.96M","0.15%"
"Feb 20, 2019","21,431.49","21,346.04","21,494.85","21,315.39","615.07M","0.60%"
"Feb 19, 2019","21,302.65","21,256.58","21,344.17","21,217.16","552.65M","0.10%"
"Feb 18, 2019","21,281.85","21,217.32","21,306.36","21,189.97","636.94M","1.82%"
"Feb 15, 2019","20,900.63","21,051.51","21,051.51","20,853.33","676.14M","-1.13%"
"Feb 14, 2019","21,139.71","21,147.89","21,235.62","21,102.16","665.20M","-0.02%"
"Feb 13, 2019","21,144.48","21,029.93","21,213.74","20,992.88","810.27M","1.34%"
"Feb 12, 2019","20,864.21","20,442.55","20,885.88","20,428.57","866.91M","2.61%"
"Feb 08, 2019","20,333.17","20,510.50","20,562.39","20,315.31","888.59M","-2.01%"
"Feb 07, 2019","20,751.28","20,812.22","20,844.77","20,665.51","727.74M","-0.59%"
"Feb 06, 2019","20,874.06","20,928.87","20,971.66","20,860.99","710.05M","0.14%"
"Feb 05, 2019","20,844.45","20,960.47","20,981.23","20,823.18","674.93M","-0.19%"
"Feb 04, 2019","20,883.77","20,831.90","20,922.58","20,823.68","686.88M","0.46%"
"Feb 01, 2019","20,788.39","20,797.03","20,929.63","20,741.98","847.46M","0.07%"
"Jan 31, 2019","20,773.49","20,832.91","20,869.42","20,682.91","779.60M","1.06%"
"Jan 30, 2019","20,556.54","20,701.62","20,706.27","20,527.53","743.38M","-0.52%"
"Jan 29, 2019","20,664.64","20,555.44","20,673.66","20,406.22","650.25M","0.08%"
"Jan 28, 2019","20,649.00","20,746.29","20,759.48","20,624.55","585.54M","-0.60%"
"Jan 25, 2019","20,773.56","20,598.64","20,844.31","20,598.64","705.06M","0.97%"
"Jan 24, 2019","20,574.63","20,506.24","20,620.72","20,467.59","633.32M","-0.09%"
