Date,Price,Open,High,Low,Vol.,Change %
"Jan 14, 2019","6,855.02","6,918.18","6,918.21","6,841.74",704.57M,-0.91%
"Jan 11, 2019","6,918.18","6,942.87","7,001.94","6,902.65",701.51M,-0.36%
"Jan 10, 2019","6,942.87","6,906.63","6,948.18","6,860.82",630.32M,0.52%
"Jan 09, 2019","6,906.63","6,861.60","6,938.31","6,861.60",887.29M,0.66%
"Jan 08, 2019","6,861.60","6,810.88","6,901.48","6,804.89",672.10M,0.74%
"Jan 07, 2019","6,810.88","6,837.42","6,874.11","6,778.01",759.33M,-0.39%
"Jan 04, 2019","6,837.42","6,692.66","6,850.37","6,692.50",658.88M,2.16%
"Jan 03, 2019","6,692.66","6,734.23","6,753.14","6,685.09",694.92M,-0.62%
"Jan 02, 2019","6,734.23","6,728.13","6,753.29","6,599.48",633.24M,0.09%
"Dec 31, 2018","6,728.13","6,733.97","6,752.54","6,718.32",232.27M,-0.09%
"Dec 28, 2018","6,733.97","6,584.68","6,742.48","6,584.68",515.16M,2.27%
"Dec 27, 2018","6,584.68","6,685.99","6,728.49","6,536.53",608.36M,-1.52%
"Dec 24, 2018","6,685.99","6,721.17","6,721.17","6,661.04",198.77M,-0.52%
"Dec 21, 2018","6,721.17","6,711.93","6,733.00","6,653.65",1.65B,0.14%
"Dec 20, 2018","6,711.93","6,765.94","6,765.94","6,646.45",929.57M,-0.80%
"Dec 19, 2018","6,765.94","6,701.59","6,785.16","6,698.15",777.37M,0.96%
"Dec 18, 2018","6,701.59","6,773.24","6,773.24","6,701.59",880.78M,-1.06%
"Dec 17, 2018","6,773.24","6,845.17","6,845.17","6,761.38",734.72M,-1.05%
"Dec 14, 2018","6,845.17","6,877.50","6,877.50","6,788.65",736.01M,-0.47%
"Dec 13, 2018","6,877.50","6,880.19","6,908.48","6,848.98",757.82M,-0.04%
"Dec 12, 2018","6,880.19","6,806.94","6,902.19","6,806.94",1.10B,1.08%
"Dec 11, 2018","6,806.94","6,721.54","6,857.58","6,721.54",867.26M,1.27%
"Dec 10, 2018","6,721.54","6,778.11","6,815.84","6,719.17",891.07M,-0.83%
"Dec 07, 2018","6,778.11","6,704.05","6,868.27","6,704.05",845.32M,1.10%
"Dec 06, 2018","6,704.05","6,921.84","6,921.84","6,673.57",1.06B,-3.15%
"Dec 05, 2018","6,921.84","7,022.76","7,028.65","6,921.84",813.44M,-1.44%
"Dec 04, 2018","7,022.76","7,062.41","7,095.01","7,002.71",844.63M,-0.56%
"Dec 03, 2018","7,062.41","6,980.24","7,145.49","6,980.24",891.14M,1.18%
"Nov 30, 2018","6,980.24","7,038.95","7,042.07","6,965.60",1.22B,-0.83%
"Nov 29, 2018","7,038.95","7,004.52","7,078.37","7,004.52",797.79M,0.49%
"Nov 28, 2018","7,004.52","7,016.85","7,057.03","6,987.25",825.36M,-0.18%
"Nov 27, 2018","7,016.85","7,036.00","7,043.70","6,983.98",855.62M,-0.27%
"Nov 26, 2018","7,036.00","6,952.86","7,050.96","6,952.86",826.83M,1.20%
"Nov 23, 2018","6,952.86","6,960.32","6,987.53","6,912.30",707.66M,-0.11%
"Nov 22, 2018","6,960.32","7,050.23","7,050.43","6,944.95",786.80M,-1.28%
"Nov 21, 2018","7,050.23","6,947.92","7,058.56","6,947.92",864.50M,1.47%
"Nov 20, 2018","6,947.92","7,000.89","7,010.10","6,904.21",851.71M,-0.76%
