"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 22, 2019","15,679.40","15,685.77","15,758.17","15,538.71","-","-0.05%"
"Apr 18, 2019","15,686.50","15,477.04","15,784.81","15,477.04","-","1.35%"
"Apr 17, 2019","15,476.94","15,655.43","15,775.71","15,321.97","-","-1.14%"
"Apr 16, 2019","15,654.83","15,443.08","15,771.70","15,402.77","-","1.37%"
"Apr 15, 2019","15,443.24","15,419.77","15,561.88","15,384.00","-","0.15%"
"Apr 12, 2019","15,419.80","15,732.65","15,739.00","15,358.98","-","-2.00%"
"Apr 11, 2019","15,734.00","15,934.90","15,934.90","15,634.28","-","-1.26%"
"Apr 10, 2019","15,934.82","15,996.87","16,099.72","15,889.91","-","-0.38%"
"Apr 09, 2019","15,996.12","16,168.18","16,168.18","15,854.90","-","-1.07%"
"Apr 08, 2019","16,168.74","16,121.28","16,207.65","16,065.41","-","0.30%"
"Apr 05, 2019","16,120.95","15,988.30","16,181.10","15,957.56","-","0.84%"
"Apr 04, 2019","15,987.21","15,686.46","16,005.92","15,655.26","-","1.93%"
"Apr 03, 2019","15,684.53","15,841.86","16,015.04","15,625.81","-","-0.99%"
"Apr 02, 2019","15,840.89","15,954.01","16,062.94","15,743.68","-","-0.70%"
"Apr 01, 2019","15,952.68","15,846.48","16,079.11","15,846.48","-","0.68%"
"Mar 29, 2019","15,845.04","15,672.67","15,917.48","15,672.67","-","1.11%"
"Mar 28, 2019","15,670.46","15,254.84","15,748.84","15,207.57","-","2.72%"
"Mar 27, 2019","15,254.84","15,817.60","15,817.60","15,254.84","-","-3.57%"
"Mar 26, 2019","15,819.26","15,549.12","15,858.67","15,549.12","-","1.74%"
"Mar 25, 2019","15,548.03","15,562.77","15,667.80","15,454.83","-","-0.10%"
"Mar 22, 2019","15,563.08","16,062.12","16,062.12","15,502.56","-","-3.11%"
"Mar 21, 2019","16,062.87","16,281.55","16,281.89","15,851.89","-","-1.34%"
"Mar 20, 2019","16,281.59","16,544.90","16,565.92","16,273.50","-","-1.59%"
"Mar 19, 2019","16,544.90","16,618.50","16,691.96","16,508.06","-","-0.44%"
"Mar 18, 2019","16,618.13","16,475.98","16,629.41","16,475.97","-","0.87%"
"Mar 15, 2019","16,475.16","16,383.09","16,513.54","16,381.11","-","0.56%"
"Mar 14, 2019","16,383.09","16,438.42","16,459.24","16,246.84","-","-0.34%"
"Mar 13, 2019","16,438.28","16,258.25","16,499.95","16,196.87","-","1.11%"
"Mar 12, 2019","16,257.69","16,301.74","16,315.34","16,157.97","-","-0.26%"
"Mar 11, 2019","16,299.74","15,843.82","16,299.74","15,843.47","-","2.90%"
"Mar 08, 2019","15,840.33","15,677.64","15,857.94","15,497.22","-","1.04%"
"Mar 07, 2019","15,677.64","15,648.41","15,711.59","15,565.47","-","0.19%"
"Mar 06, 2019","15,648.35","15,704.61","15,761.04","15,600.75","-","-0.35%"
"Mar 01, 2019","15,703.30","15,874.25","15,964.33","15,677.62","-","-1.07%"
"Feb 28, 2019","15,873.60","16,161.78","16,200.73","15,837.09","-","-1.78%"
"Feb 27, 2019","16,161.06","16,219.80","16,253.99","16,099.44","-","-0.36%"
"Feb 26, 2019","16,219.80","16,149.52","16,269.40","16,148.48","-","0.44%"
"Feb 25, 2019","16,149.08","16,260.46","16,312.55","16,125.72","-","-0.69%"
"Feb 22, 2019","16,261.25","16,098.35","16,261.43","16,098.35","-","1.01%"
"Feb 21, 2019","16,098.95","16,028.21","16,145.43","15,909.10","-","0.44%"
"Feb 20, 2019","16,027.98","16,208.58","16,364.28","16,027.98","-","-1.11%"
"Feb 19, 2019","16,208.21","16,012.32","16,301.31","16,012.32","-","1.23%"
"Feb 18, 2019","16,011.84","16,188.54","16,188.54","15,970.48","-","-1.09%"
"Feb 15, 2019","16,188.07","16,269.77","16,305.06","16,112.48","-","-0.50%"
"Feb 14, 2019","16,269.77","15,902.43","16,270.47","15,749.40","-","2.31%"
"Feb 13, 2019","15,902.35","15,963.12","16,072.29","15,829.93","-","-0.38%"
"Feb 12, 2019","15,963.05","15,654.87","16,031.86","15,654.87","-","1.98%"
"Feb 11, 2019","15,653.65","15,801.49","15,823.37","15,536.22","-","-0.93%"
"Feb 08, 2019","15,800.09","15,646.96","15,822.79","15,481.03","-","0.97%"
"Feb 07, 2019","15,647.71","15,680.35","15,849.68","15,489.95","-","-0.19%"
"Feb 06, 2019","15,677.15","16,293.28","16,293.28","15,677.15","-","-3.78%"
"Feb 05, 2019","16,293.85","16,345.86","16,345.86","16,177.60","-","-0.32%"
"Feb 04, 2019","16,346.18","16,211.62","16,346.18","16,056.03","-","0.79%"
"Feb 01, 2019","16,217.72","16,146.75","16,251.45","16,069.71","-","0.44%"
"Jan 31, 2019","16,145.96","16,067.87","16,324.80","16,067.87","-","0.49%"
"Jan 30, 2019","16,067.84","15,837.29","16,093.53","15,837.29","-","1.46%"
"Jan 29, 2019","15,836.66","15,828.74","16,024.30","15,828.74","-","0.13%"
"Jan 28, 2019","15,816.59","16,205.85","16,249.09","15,707.32","-","-2.41%"
"Jan 24, 2019","16,206.39","16,025.24","16,206.39","16,022.43","-","1.13%"
"Jan 23, 2019","16,025.36","15,794.16","16,028.40","15,794.16","-","1.48%"
"Jan 22, 2019","15,792.01","15,943.17","15,950.84","15,716.52","-","-0.95%"
"Jan 21, 2019","15,943.41","15,964.53","15,964.53","15,760.53","-","-0.14%"
"Jan 18, 2019","15,965.24","15,842.65","16,011.52","15,842.48","-","0.81%"
"Jan 17, 2019","15,836.55","15,678.14","15,890.93","15,603.24","-","1.01%"
"Jan 16, 2019","15,678.14","15,613.74","15,678.14","15,556.31","-","0.41%"
"Jan 15, 2019","15,613.54","15,688.58","15,723.86","15,500.50","-","-0.48%"
"Jan 14, 2019","15,688.58","15,562.62","15,688.58","15,502.37","-","0.79%"
"Jan 11, 2019","15,564.95","15,599.31","15,628.86","15,516.09","-","-0.22%"
"Jan 10, 2019","15,599.31","15,570.41","15,633.07","15,474.72","-","0.17%"
"Jan 09, 2019","15,572.82","15,303.71","15,573.94","15,303.66","-","1.75%"
"Jan 08, 2019","15,304.34","15,243.11","15,333.60","15,128.92","-","0.40%"
"Jan 07, 2019","15,243.11","15,261.53","15,382.76","15,175.10","-","-0.12%"
"Jan 04, 2019","15,260.77","15,216.05","15,409.95","15,088.01","-","0.31%"
"Jan 03, 2019","15,213.56","15,137.30","15,217.28","14,935.31","-","0.50%"
"Jan 02, 2019","15,137.53","14,619.80","15,221.40","14,556.55","-","3.54%"
"Dec 28, 2018","14,619.96","14,212.60","14,647.80","14,212.60","-","2.88%"
"Dec 27, 2018","14,210.77","14,160.53","14,261.09","14,113.95","-","0.36%"
"Dec 26, 2018","14,159.74","14,256.83","14,256.83","13,946.06","-","-0.70%"
"Dec 21, 2018","14,259.09","14,179.38","14,399.61","14,159.10","-","0.56%"
"Dec 20, 2018","14,179.66","14,256.59","14,405.42","14,095.68","-","-0.53%"
"Dec 19, 2018","14,255.80","14,411.66","14,664.20","14,255.80","-","-1.07%"
"Dec 18, 2018","14,410.59","14,377.66","14,521.81","14,377.66","-","0.23%"
"Dec 17, 2018","14,377.54","14,551.25","14,615.02","14,365.00","-","-1.20%"
"Dec 14, 2018","14,551.51","14,618.73","14,675.37","14,494.63","-","-0.46%"
"Dec 13, 2018","14,618.73","14,475.42","14,619.53","14,453.36","-","0.99%"
"Dec 12, 2018","14,475.14","14,386.16","14,636.65","14,386.16","-","0.62%"
"Dec 11, 2018","14,386.10","14,313.13","14,581.66","14,248.89","-","0.51%"
"Dec 10, 2018","14,312.54","14,688.22","14,734.96","14,312.54","-","-2.56%"
"Dec 07, 2018","14,688.22","14,813.99","15,009.33","14,654.01","-","-0.85%"
"Dec 06, 2018","14,813.53","14,828.78","14,828.78","14,506.19","-","-0.23%"
"Dec 05, 2018","14,847.58","14,789.73","14,864.30","14,749.82","-","0.41%"
"Dec 04, 2018","14,786.27","14,987.54","15,094.02","14,686.33","-","-1.34%"
"Dec 03, 2018","14,987.11","14,936.10","15,231.59","14,919.81","-","0.35%"
"Nov 30, 2018","14,934.85","14,969.43","15,060.88","14,894.75","-","-0.23%"
"Nov 29, 2018","14,969.51","14,891.36","15,006.87","14,762.96","-","0.52%"
"Nov 28, 2018","14,891.67","14,661.45","14,931.43","14,534.10","-","1.57%"
"Nov 27, 2018","14,661.45","14,271.85","14,682.54","14,242.26","-","2.73%"
"Nov 26, 2018","14,271.68","14,387.64","14,537.31","14,163.78","-","-0.80%"
"Nov 23, 2018","14,386.37","14,602.73","14,602.73","14,305.63","-","-1.48%"
"Nov 22, 2018","14,602.37","14,571.58","14,634.19","14,560.90","-","0.21%"
"Nov 21, 2018","14,571.33","14,682.58","14,682.58","14,404.92","-","-0.76%"
"Nov 19, 2018","14,683.40","14,780.08","14,781.46","14,536.89","-","-0.70%"
"Nov 16, 2018","14,787.58","14,359.93","14,787.79","14,359.93","-","2.98%"
"Nov 14, 2018","14,359.30","14,177.63","14,359.30","14,071.28","-","1.26%"
"Nov 13, 2018","14,180.39","14,289.28","14,355.93","14,040.15","-","-0.75%"
"Nov 12, 2018","14,288.01","14,309.64","14,406.38","14,198.24","-","-0.15%"
"Nov 09, 2018","14,309.17","14,315.89","14,415.63","14,040.97","-","-0.04%"
"Nov 08, 2018","14,315.18","14,670.82","14,814.45","14,315.18","-","-2.42%"
"Nov 07, 2018","14,669.92","14,831.94","14,980.28","14,641.99","-","-1.08%"
"Nov 06, 2018","14,830.64","14,988.42","14,988.42","14,730.86","-","-1.07%"
"Nov 05, 2018","14,990.37","14,791.27","14,990.37","14,780.80","-","1.35%"
"Nov 01, 2018","14,791.39","14,620.71","14,893.16","14,563.33","-","1.17%"
"Oct 31, 2018","14,620.01","14,526.09","14,715.56","14,415.01","-","0.65%"
"Oct 30, 2018","14,525.57","14,005.13","14,544.19","14,005.13","-","3.72%"
"Oct 29, 2018","14,004.29","14,333.86","14,779.15","13,832.85","-","-2.29%"
"Oct 26, 2018","14,332.51","14,060.30","14,332.51","13,958.79","-","1.94%"
"Oct 25, 2018","14,060.30","13,901.18","14,186.98","13,901.18","-","1.22%"
"Oct 24, 2018","13,890.52","14,269.52","14,351.52","13,885.56","-","-2.65%"
"Oct 23, 2018","14,269.15","14,321.60","14,321.60","14,053.23","-","-0.37%"
"Oct 22, 2018","14,322.45","14,091.52","14,352.03","14,091.52","-","1.64%"
"Oct 19, 2018","14,091.15","14,034.51","14,221.90","13,999.09","-","0.40%"
"Oct 18, 2018","14,034.82","14,364.30","14,364.30","14,034.60","-","-2.30%"
"Oct 17, 2018","14,365.11","14,359.87","14,431.42","14,234.12","-","0.03%"
"Oct 16, 2018","14,360.51","13,981.02","14,360.51","13,981.02","-","2.79%"
"Oct 15, 2018","13,970.46","13,889.75","14,118.96","13,889.75","-","0.59%"
"Oct 11, 2018","13,887.86","14,018.62","14,190.79","13,832.38","-","-0.91%"
"Oct 10, 2018","14,014.88","14,414.87","14,414.87","14,014.88","-","-2.77%"
"Oct 09, 2018","14,414.71","14,414.91","14,498.39","14,307.43","-","-0.04%"
"Oct 08, 2018","14,420.34","13,803.98","14,632.87","13,803.98","-","4.47%"
"Oct 05, 2018","13,803.47","13,923.52","14,059.81","13,757.96","-","-0.84%"
"Oct 04, 2018","13,919.70","13,978.76","14,000.14","13,743.82","-","-0.42%"
"Oct 03, 2018","13,978.76","13,708.15","14,352.21","13,707.92","-","1.99%"
"Oct 02, 2018","13,706.04","13,212.64","13,733.81","13,212.64","-","3.75%"
"Oct 01, 2018","13,210.32","13,328.02","13,364.12","13,117.22","-","-0.87%"
"Sep 28, 2018","13,326.62","13,438.84","13,438.84","13,266.22","-","-0.84%"
"Sep 27, 2018","13,438.84","13,218.12","13,454.82","13,218.12","-","1.70%"
"Sep 26, 2018","13,214.69","13,212.48","13,349.84","13,192.35","-","0.02%"
"Sep 25, 2018","13,211.77","13,094.90","13,218.47","12,931.52","-","0.89%"
"Sep 24, 2018","13,095.70","13,341.40","13,341.45","13,074.51","-","-1.84%"
"Sep 21, 2018","13,340.98","13,123.82","13,433.97","13,123.82","-","1.67%"
"Sep 20, 2018","13,122.23","13,140.40","13,263.23","13,072.83","-","-0.07%"
"Sep 19, 2018","13,131.69","13,138.19","13,273.04","13,029.60","-","-0.11%"
"Sep 18, 2018","13,146.19","12,884.18","13,172.43","12,867.39","-","2.02%"
"Sep 17, 2018","12,885.61","12,659.82","12,903.80","12,625.08","-","1.78%"
